age,gender,location,tenure_months,monthly_charges,total_charges,contract_type,internet_service,phone_service,online_security,tech_support,payment_method,churn,satisfaction_score,support_tickets,last_contact_day,last_contact_month,last_contact_year,last_contact_week,last_contact_week_of_year,valid_email,email_domain
25.0,male,pune,12.537262706399869,91.77211015070604,1150.5710540800676,monthly,no internet,no,no,yes,bank transfer (automatic),no,7.0,1.0,,,,,,0,invalid
18.0,female,,29.53628506763808,69.48634316105446,2052.368439912628,2 year,fiber optic,yes,no,no internet service,bank transfer (automatic),no,4.0,6.0,27.0,12.0,2023.0,2.0,52,0,invalid
44.0,,other,6.500922588144728,119.33086270130975,775.7607007977417,monthly,fiber optic,no,no,yes,mailed check,yes,6.0,1.0,,,,,,1,hotmail.com
41.0,other,other,19.469676382694843,79.63706518476188,1550.5078872148881,monthly,fiber optic,no,no,no,mailed check,yes,6.0,3.0,20.0,4.0,2024.0,5.0,16,0,invalid
21.0,female,other,1.2964145125840514,32.40812164509117,42.014359226285514,,no internet,yes,no,no internet service,bank transfer (automatic),yes,3.0,7.0,,,,,,1,hotmail.com
55.0,male,other,0.9509084086645077,119.97884592381112,114.08889345081539,1 year,fiber optic,no,no,yes,electronic check,yes,2.0,6.0,,,,,,0,invalid
39.0,other,mumbai,37.88981644553933,119.2487200902134,4518.312115583684,monthly,fiber optic,no,yes,yes,electronic check,yes,7.0,1.0,,,,,,1,hotmail.com
19.0,female,delhi,24.257238669908755,65.66195901908522,1592.777811459718,monthly,dsl,no,,no,mailed check,no,6.0,3.0,15.0,5.0,2023.0,0.0,20,0,invalid
45.0,female,other,12.570306149233208,92.767573337988,1166.116797579953,1 year,fiber optic,no,no,no internet service,electronic check,yes,8.0,2.0,,,,,,0,invalid
0.0,,other,70.14659435170465,48.00199995822346,3367.1768191400442,1 year,fiber optic,yes,yes,yes,electronic check,no,8.0,4.0,24.0,1.0,2024.0,2.0,4,1,gmail.com
35.0,unknown,,44.29131385366573,66.40793494110349,2941.2946888502292,monthly,fiber optic,no,no,yes,credit card (automatic),yes,6.0,0.0,5.0,4.0,2024.0,4.0,14,1,outlook.com
57.0,male,,7.842592144505614,28.138171095646538,220.67619959547247,monthly,dsl,yes,no,no,electronic check,yes,5.0,5.0,18.0,9.0,2023.0,0.0,38,0,invalid
,,other,9.380158504286616,72.09806784755048,676.291304262834,1 year,no internet,no,no,no,credit card (automatic),no,6.0,1.0,7.0,10.0,2023.0,5.0,40,0,invalid
30.0,female,other,31.12349667807139,84.6887710876789,2635.8106856173226,monthly,no internet,yes,yes,no,credit card (automatic),no,6.0,3.0,31.0,5.0,2023.0,2.0,22,0,invalid
21.0,male,other,,50.80818230739604,,,dsl,no,no,no,bank transfer (automatic),yes,7.0,1.0,,,,,,1,gmail.com
18.0,female,delhi,59.40895834860677,56.781019620630246,3373.301229633446,monthly,fiber optic,no,no,no internet service,electronic check,no,7.0,1.0,15.0,8.0,2023.0,1.0,33,0,invalid
26.0,female,other,13.323281643870535,42.39965124606137,564.9024951531619,monthly,dsl,no,no,no,electronic check,yes,6.0,2.0,,,,,,1,gmail.com
27.0,other,other,2.485229560118176,25.23673636783857,62.71908322226183,monthly,dsl,no,no,no internet service,credit card (automatic),yes,7.0,3.0,28.0,4.0,2024.0,6.0,17,0,invalid
40.0,,kolkata,41.83294181104232,88.61181149027472,3706.8927538437133,1 year,dsl,no,no,yes,credit card (automatic),no,9.0,2.0,18.0,6.0,2023.0,6.0,24,1,gmail.com
36.0,other,other,0.1741424744530833,85.57448083651275,14.902151842908289,1 year,no internet,no,no,no,mailed check,no,4.0,5.0,27.0,3.0,2024.0,2.0,13,0,invalid
45.0,,other,25.099180416296143,27.2991287315797,685.1857572416126,monthly,dsl,no,unknown,no internet service,bank transfer (automatic),yes,7.0,0.0,17.0,5.0,2023.0,2.0,20,1,hotmail.com
47.0,,other,5.190960708694602,113.78314901257502,590.64385583582,1 year,dsl,yes,no,no internet service,electronic check,yes,5.0,1.0,24.0,3.0,2024.0,6.0,12,0,invalid
62.0,male,other,22.601421370374457,40.4119766735124,913.3681132077971,monthly,fiber optic,yes,no,no internet service,mailed check,no,8.0,2.0,16.0,1.0,2024.0,1.0,3,1,yahoo.com
26.0,female,other,5.32757138399045,19.599475475707496,104.41760468560187,2 year,no internet,no,no,yes,electronic check,no,7.0,1.0,5.0,1.0,2023.0,3.0,1,0,invalid
57.0,female,bangalore,25.799434605878066,83.76476902033218,2161.083680616541,monthly,fiber optic,yes,no,no,electronic check,yes,4.0,5.0,18.0,11.0,2023.0,5.0,46,0,invalid
39.0,other,bangalore,34.00012581929232,74.80810717014293,2543.4850560879636,1 year,dsl,yes,yes,yes,mailed check,no,5.0,5.0,10.0,10.0,2023.0,1.0,41,0,invalid
33.0,female,mumbai,0.8747568794629484,58.04142707711702,50.77213762955517,1 year,no internet,no,yes,no,electronic check,yes,5.0,4.0,10.0,4.0,2023.0,0.0,15,1,yahoo.com
21.0,male,mumbai,24.996561158279285,56.942332608246815,1423.3624995371222,1 year,fiber optic,,no,no,electronic check,no,7.0,0.0,13.0,8.0,2023.0,6.0,32,1,hotmail.com
18.0,female,kolkata,46.411282871138695,108.718676613535,5045.773253686624,monthly,fiber optic,no,yes,yes,mailed check,yes,8.0,5.0,30.0,5.0,2023.0,1.0,22,1,gmail.com
36.0,,hyderabad,3.387050466040971,86.9350300103542,294.45333391185596,monthly,,no,no,no,credit card (automatic),no,8.0,2.0,23.0,5.0,2024.0,3.0,21,0,invalid
79.0,female,delhi,22.44537347463463,99.9474959810308,2243.3588751487796,monthly,fiber optic,no,no,no internet service,credit card (automatic),yes,3.0,8.0,26.0,2.0,2024.0,0.0,9,0,invalid
31.0,male,chennai,18.0016251090751,46.837555073051085,843.1521074507242,monthly,no internet,yes,no,no internet service,credit card (automatic),yes,3.0,6.0,16.0,3.0,2024.0,5.0,11,0,invalid
25.0,female,,19.51901635528808,73.95912455694904,1443.6093618498764,monthly,,yes,no,no internet service,credit card (automatic),no,10.0,2.0,21.0,8.0,2023.0,0.0,34,0,invalid
43.0,male,bangalore,27.292082387231183,34.184753905325096,932.9731199713555,monthly,fiber optic,no,yes,yes,electronic check,no,5.0,1.0,5.0,11.0,2024.0,1.0,45,1,yahoo.com
18.0,male,other,13.8962464849643,29.167668054097945,405.321104671364,monthly,no internet,no,no,,mailed check,no,6.0,2.0,29.0,7.0,2023.0,5.0,30,0,invalid
32.0,male,other,,31.31525869395489,,monthly,dsl,no,yes,yes,credit card (automatic),yes,4.0,3.0,6.0,11.0,2023.0,0.0,45,1,outlook.com
33.0,male,delhi,36.56430822513231,47.56347712456007,1739.1256378414444,monthly,fiber optic,yes,no,no,electronic check,yes,10.0,0.0,,,,,,0,invalid
39.0,male,other,14.70458800424997,108.12006634890496,1589.8610306528187,2 year,fiber optic,yes,yes,yes,electronic check,no,5.0,2.0,,,,,,1,gmail.com
40.0,female,other,52.1187365317455,91.4046151782321,4763.893056259864,monthly,dsl,no,no,no internet service,bank transfer (automatic),no,8.0,2.0,21.0,5.0,2024.0,1.0,21,0,invalid
26.0,,,39.6668939113095,38.98951460354586,1546.592939432306,monthly,no internet,yes,no,no internet service,electronic check,no,6.0,1.0,4.0,4.0,2024.0,3.0,14,1,outlook.com
39.0,male,delhi,0.2135023314102151,60.7296210083728,12.965915670946371,monthly,no internet,yes,no,no,credit card (automatic),yes,7.0,1.0,27.0,5.0,2023.0,5.0,21,1,company.in
44.0,,mumbai,29.69400721345914,34.057976633648536,1011.3178038353825,monthly,no internet,yes,no,no,electronic check,no,7.0,2.0,28.0,6.0,2023.0,2.0,26,1,gmail.com
55.0,female,bangalore,1.2366633920788768,117.88865548395574,145.78858457840678,2 year,fiber optic,no,yes,no,bank transfer (automatic),yes,3.0,4.0,16.0,7.0,2023.0,6.0,28,0,invalid
36.0,female,mumbai,9.637381563040975,54.53756348709092,525.5993088436667,monthly,fiber optic,no,no,no,electronic check,yes,5.0,1.0,30.0,9.0,2023.0,5.0,39,0,invalid
53.0,female,other,24.226834894074614,22.79508231371823,552.2526956112919,2 year,no internet,yes,no,no internet service,bank transfer (automatic),no,6.0,0.0,20.0,5.0,2024.0,0.0,21,0,invalid
50.0,male,bangalore,0.6657836040637701,82.96021617760923,55.23355172063816,monthly,fiber optic,yes,no,no,credit card (automatic),yes,4.0,6.0,,,,,,0,invalid
18.0,other,other,47.74766972295849,35.11117239501056,1676.476663102822,1 year,dsl,no,yes,,electronic check,yes,7.0,3.0,26.0,8.0,2023.0,5.0,34,1,yahoo.com
49.0,,other,3.9392242509011575,75.65386986965626,298.0175588650703,monthly,fiber optic,no,no,no internet service,credit card (automatic),yes,3.0,9.0,24.0,5.0,2024.0,4.0,21,0,invalid
40.0,female,mumbai,10.997068405163263,33.59168434750351,369.4100506141482,monthly,no internet,yes,no,yes,mailed check,yes,8.0,3.0,11.0,12.0,2023.0,0.0,50,1,outlook.com
21.0,male,,30.82213655725868,123.90085748598014,3818.889148994326,1 year,no internet,no,no,no internet service,credit card (automatic),no,8.0,1.0,4.0,7.0,2024.0,3.0,27,1,gmail.com
35.0,male,chennai,34.1799735669471,21.98838738896798,751.5624997347185,monthly,no internet,no,no,no internet service,electronic check,yes,3.0,2.0,13.0,4.0,2024.0,5.0,15,1,company.in
42.0,female,bangalore,24.02679717674989,76.65554474197494,1841.7872259887083,monthly,fiber optic,,no,no,electronic check,no,6.0,0.0,,,,,,0,invalid
43.0,other,other,13.89028832897242,64.49247768921629,895.8191101530352,monthly,,yes,no,no,electronic check,yes,6.0,2.0,,,,,,0,invalid
50.0,male,chennai,7.51982688328892,67.96318813636184,511.07140922183635,1 year,dsl,no,no,no,credit card (automatic),yes,7.0,1.0,2.0,6.0,2024.0,6.0,22,1,outlook.com
34.0,female,,65.07273939325606,40.903317692399895,2661.690932517098,monthly,no internet,yes,no,no internet service,bank transfer (automatic),no,6.0,2.0,30.0,6.0,2023.0,4.0,26,0,invalid
57.0,male,other,33.0645083874926,74.0629390767408,2448.85467030525,1 year,fiber optic,yes,no,yes,bank transfer (automatic),no,5.0,1.0,,,,,,1,company.in
68.0,,mumbai,4.404019119778752,70.77425757861096,311.69118356434893,monthly,dsl,no,no,no,bank transfer (automatic),yes,3.0,9.0,24.0,8.0,2023.0,3.0,34,1,yahoo.com
51.0,other,mumbai,28.427093423455737,59.29227717680807,1685.5071025945554,1 year,dsl,,yes,yes,mailed check,no,6.0,2.0,14.0,6.0,2023.0,2.0,24,1,company.in
27.0,male,hyderabad,13.570620055801292,0.5,6.785310027900646,2 year,fiber optic,no,no,yes,mailed check,no,6.0,4.0,25.0,4.0,2024.0,3.0,17,0,invalid
50.0,female,other,20.2495540249855,42.58413546376869,862.309751680885,1 year,dsl,,yes,no internet service,mailed check,no,8.0,1.0,6.0,2.0,2023.0,0.0,6,1,yahoo.com
40.0,male,other,31.58435584182917,108.80334018962614,3436.483413328745,monthly,no internet,,no,no internet service,credit card (automatic),no,5.0,2.0,,,,,,1,gmail.com
18.0,,delhi,3.3640061446091454,22.91801573984555,77.09634577108955,monthly,fiber optic,,,no,,yes,,5.0,27.0,4.0,2024.0,5.0,17,1,gmail.com
36.0,male,delhi,8.029812904446267,89.74552512405648,720.6397757574554,monthly,dsl,no,no,no,mailed check,yes,5.0,3.0,,,,,,1,gmail.com
22.0,male,mumbai,71.87110834214478,33.744998072394694,2425.2904124665456,,no internet,,no,yes,electronic check,no,10.0,1.0,6.0,8.0,2023.0,6.0,31,1,gmail.com
30.0,male,chennai,23.59546318244931,57.98283989067427,1368.131963854258,monthly,dsl,no,no,no,electronic check,yes,4.0,3.0,16.0,10.0,2023.0,0.0,42,0,invalid
36.0,,other,19.85062119774168,50.466679690550215,1001.7949416448757,1 year,no internet,no,no,no internet service,electronic check,no,6.0,3.0,,,,,,1,yahoo.com
22.0,female,other,14.294550819340987,90.67641722553851,1296.1786541462268,monthly,no internet,yes,no,no internet service,mailed check,yes,3.0,8.0,22.0,8.0,2023.0,1.0,34,1,outlook.com
34.0,female,other,1.0846779999285407,32.15054425562686,34.87298803980738,1 year,dsl,yes,no,no,electronic check,yes,7.0,3.0,,,,,,0,invalid
18.0,male,,13.197567298978615,19.67975639567935,259.72490945948306,1 year,dsl,,no,no internet service,mailed check,no,10.0,5.0,7.0,4.0,2023.0,4.0,14,1,outlook.com
51.0,,other,,119.25937015091242,,2 year,no internet,no,no,no,electronic check,no,6.0,0.0,24.0,3.0,2024.0,6.0,12,1,company.in
52.0,,,59.15836573775544,19.29631830557388,1141.538655713285,monthly,dsl,yes,no,no,mailed check,yes,9.0,0.0,29.0,7.0,2023.0,5.0,30,0,invalid
21.0,female,mumbai,3.8934204148470206,55.25409764574266,215.12743177788516,monthly,dsl,no,no,no,credit card (automatic),yes,8.0,2.0,5.0,1.0,2024.0,4.0,1,1,gmail.com
46.0,other,other,2.817683409767819,59.57897567792854,167.87469133865963,1 year,dsl,no,no,,bank transfer (automatic),no,6.0,0.0,,,,,,0,invalid
39.0,male,chennai,0.6284614642442422,21.99566824688089,13.823429873465347,monthly,dsl,no,,no,bank transfer (automatic),yes,7.0,0.0,3.0,12.0,2024.0,1.0,49,0,invalid
33.0,male,other,62.9273655530346,118.95880989214136,7485.764515836728,monthly,fiber optic,yes,no,no,credit card (automatic),no,8.0,2.0,31.0,12.0,2023.0,6.0,52,0,invalid
41.0,male,pune,9.08571328243281,82.0420206383229,745.410276631237,1 year,dsl,no,yes,yes,electronic check,no,4.0,3.0,28.0,5.0,2024.0,1.0,22,1,outlook.com
36.0,,delhi,3.113626527063916,99.1113177886973,308.5956281991497,monthly,no internet,yes,no,no,credit card (automatic),yes,6.0,2.0,5.0,9.0,2023.0,1.0,36,0,invalid
52.0,female,kolkata,21.63547158261501,68.29983409810106,1477.6991197267853,monthly,no internet,no,no,no,mailed check,yes,6.0,1.0,27.0,9.0,2023.0,2.0,39,1,hotmail.com
25.0,,other,52.4050974373702,44.93452828948872,2354.798333312924,2 year,fiber optic,no,no,yes,electronic check,no,10.0,2.0,16.0,1.0,2024.0,1.0,3,0,invalid
45.0,female,other,24.03880898847007,76.04300010900458,1827.98315453057,monthly,fiber optic,,yes,yes,electronic check,no,8.0,2.0,26.0,2.0,2024.0,0.0,9,1,gmail.com
39.0,female,,12.128442858858431,106.3542992200212,1289.912040883959,monthly,no internet,no,no,no internet service,electronic check,yes,5.0,3.0,,,,,,1,outlook.com
26.0,female,bangalore,68.82137995571574,66.12992740364847,4551.15286029039,monthly,dsl,yes,yes,yes,electronic check,no,6.0,2.0,,,,,,0,invalid
21.0,female,mumbai,18.011201707570986,81.11537384360608,1460.9853598822167,2 year,fiber optic,yes,yes,no,,yes,5.0,4.0,,,,,,1,gmail.com
50.0,unknown,other,13.716449658749177,29.25344549583465,401.2534124885788,monthly,no internet,yes,no,no internet service,credit card (automatic),no,5.0,5.0,11.0,4.0,2023.0,1.0,15,0,invalid
,unknown,chennai,5.157538072842732,82.27358220852955,424.3291326296475,monthly,dsl,yes,no,yes,mailed check,yes,4.0,3.0,7.0,6.0,2023.0,2.0,23,1,gmail.com
40.0,female,other,24.170965222440216,77.04857525429573,1862.3384329101498,2 year,dsl,,yes,no,electronic check,no,7.0,3.0,28.0,10.0,2023.0,5.0,43,1,yahoo.com
37.0,female,kolkata,33.963234185242385,121.7291865666576,4134.316870542453,1 year,fiber optic,no,no,no internet service,bank transfer (automatic),no,4.0,5.0,16.0,5.0,2024.0,3.0,20,0,invalid
37.0,other,,23.99450332063053,31.723355214325,761.186152031663,monthly,dsl,yes,no,no,mailed check,yes,5.0,4.0,,,,,,0,invalid
18.0,male,,30.634609336422432,70.0698655297917,2146.562956760821,2 year,dsl,no,yes,no internet service,credit card (automatic),no,4.0,5.0,6.0,8.0,2023.0,6.0,31,0,invalid
40.0,,other,35.47909463975375,60.4152571643514,2143.478626619084,monthly,fiber optic,no,no,no,electronic check,yes,3.0,5.0,31.0,5.0,2024.0,4.0,22,1,outlook.com
28.0,other,other,18.43182198709434,70.34833813701553,1296.6480456293903,monthly,fiber optic,yes,yes,no,electronic check,yes,5.0,3.0,5.0,4.0,2024.0,4.0,14,1,gmail.com
40.0,female,other,24.12237748198698,64.83078499247597,1563.8726680420418,1 year,fiber optic,no,no,no internet service,credit card (automatic),no,8.0,1.0,1.0,8.0,2024.0,3.0,31,0,invalid
47.0,other,other,71.56402081141417,33.64084497305738,2407.4741297654364,monthly,dsl,,no,yes,electronic check,yes,0.0,7.0,26.0,7.0,2023.0,2.0,30,1,company.in
36.0,female,kolkata,29.806114907312622,42.861462642363776,1277.533680613782,monthly,dsl,,yes,yes,upi,no,6.0,7.0,,,,,,1,company.in
46.0,,other,0.9974394107398886,48.01929568280914,47.89633799000562,1 year,dsl,yes,no,yes,electronic check,yes,4.0,3.0,,,,,,1,yahoo.com
45.0,,mumbai,11.222748306146835,49.97137076581927,560.8161166179337,,fiber optic,no,yes,yes,credit card (automatic),no,5.0,0.0,14.0,3.0,2024.0,3.0,11,1,gmail.com
38.0,,other,28.410202810367235,73.23304385833774,2080.565628435894,2 year,dsl,yes,yes,no internet service,bank transfer (automatic),no,7.0,1.0,21.0,1.0,2024.0,6.0,3,1,company.in
62.0,other,pune,2.0218481917877407,111.40130898045864,225.23653512492768,2 year,dsl,,no,no,credit card (automatic),yes,6.0,0.0,3.0,9.0,2024.0,1.0,36,0,invalid
50.0,male,other,41.80746264413571,75.99374754493519,3177.105761672758,1 year,,yes,no,no internet service,credit card (automatic),no,7.0,2.0,2.0,7.0,2024.0,1.0,27,1,hotmail.com
56.0,female,kolkata,39.229895491430696,92.50624241656016,3629.0102223066083,monthly,no internet,yes,no,no internet service,credit card (automatic),no,5.0,3.0,30.0,1.0,2024.0,1.0,5,1,outlook.com
43.0,female,hyderabad,16.789634340726725,76.34052404792453,1281.729484144108,1 year,dsl,yes,yes,no,electronic check,no,7.0,2.0,,,,,,1,gmail.com
43.0,other,other,24.427687167676982,22.58116817857335,551.6057121468921,monthly,dsl,yes,yes,yes,electronic check,no,8.0,3.0,7.0,11.0,2023.0,1.0,45,0,invalid
31.0,female,mumbai,58.333596702543616,60.23868282594685,3513.9390298612243,1 year,no internet,,no,yes,electronic check,no,10.0,0.0,24.0,12.0,2023.0,6.0,51,1,company.in
53.0,female,,38.385816813117,91.7994246286071,3523.7958973432533,monthly,fiber optic,yes,no,no internet service,credit card (automatic),no,8.0,0.0,7.0,2.0,2023.0,1.0,6,1,hotmail.com
38.0,male,other,12.98398435583114,33.788922779259835,438.71484476629615,1 year,no internet,yes,,no,credit card (automatic),no,9.0,4.0,22.0,9.0,2023.0,4.0,38,1,gmail.com
47.0,male,bangalore,34.63061083736733,93.6001729494268,3241.431163721876,,fiber optic,yes,no,no internet service,electronic check,yes,0.0,8.0,21.0,2.0,2024.0,2.0,8,1,outlook.com
21.0,female,mumbai,18.786891899313545,57.15883539058299,1073.83686157354,monthly,fiber optic,yes,no,no internet service,mailed check,yes,10.0,1.0,10.0,3.0,2023.0,4.0,10,0,invalid
50.0,other,delhi,46.076187660296405,41.55092654218673,1914.5082888169866,2 year,dsl,no,no,no internet service,bank transfer (automatic),no,2.0,5.0,5.0,5.0,2023.0,4.0,18,0,invalid
29.0,,other,2.458719742925918,39.917139197632,98.14505822633983,monthly,no internet,yes,no,no,bank transfer (automatic),yes,5.0,1.0,,,,,,0,invalid
38.0,male,other,50.3689105113733,99.2908376516321,5001.171316274352,2 year,no internet,no,no,no internet service,credit card (automatic),no,8.0,1.0,8.0,10.0,2023.0,6.0,40,0,invalid
24.0,male,other,46.43765325789723,32.54836703912022,1511.4697826734362,2 year,dsl,,yes,no,bank transfer (automatic),no,10.0,0.0,26.0,6.0,2023.0,0.0,26,1,company.in
40.0,female,kolkata,15.361825048866134,60.29134843227607,926.1851465768544,monthly,fiber optic,yes,yes,no,electronic check,yes,6.0,2.0,12.0,10.0,2023.0,3.0,41,1,company.in
42.0,male,other,53.38590724355464,122.66060310999517,6548.347580068672,1 year,no internet,no,no,no,,yes,7.0,1.0,7.0,1.0,2023.0,5.0,1,0,invalid
28.0,male,delhi,43.944321502519685,33.54084062805654,1473.929484024091,monthly,dsl,yes,no,yes,bank transfer (automatic),yes,4.0,4.0,30.0,3.0,2024.0,5.0,13,0,invalid
26.0,female,other,4.320743702705935,34.01600199246859,146.97442640019122,monthly,no internet,no,no,no,mailed check,yes,5.0,7.0,12.0,3.0,2023.0,6.0,10,0,invalid
41.0,female,other,9.572723528684795,49.3091252136969,472.022623112021,2 year,no internet,no,no,no internet service,credit card (automatic),no,7.0,0.0,25.0,10.0,2023.0,2.0,43,0,invalid
62.0,,other,28.69407235299848,82.8005483708464,2375.884925821017,monthly,fiber optic,yes,no,yes,credit card (automatic),no,6.0,3.0,1.0,9.0,2024.0,6.0,35,1,outlook.com
27.0,male,chennai,32.48051064361537,105.72501492309355,3434.002472505934,monthly,no internet,,no,no internet service,credit card (automatic),no,5.0,3.0,6.0,7.0,2023.0,3.0,27,0,invalid
32.0,male,chennai,54.36742829836611,35.44464363346151,1927.0341213033573,2 year,dsl,,no,no,bank transfer (automatic),no,4.0,3.0,7.0,10.0,2023.0,5.0,40,1,gmail.com
32.0,female,other,30.1692200293652,116.73994261040114,3521.953014828658,monthly,,yes,no,no internet service,mailed check,no,9.0,3.0,20.0,8.0,2023.0,6.0,33,1,gmail.com
48.0,,other,34.888780728285724,77.1919161458153,2693.1318364075682,monthly,fiber optic,yes,no,no,electronic check,yes,4.0,5.0,11.0,2.0,2023.0,5.0,6,0,invalid
26.0,male,other,26.69037565637073,83.84217034055706,2237.779022234892,monthly,fiber optic,no,yes,no,electronic check,yes,5.0,4.0,3.0,8.0,2024.0,5.0,31,0,invalid
40.0,male,other,33.99064817350896,18.979404481068894,645.1222602587321,monthly,,yes,no,no internet service,mailed check,no,5.0,3.0,18.0,12.0,2023.0,0.0,51,0,invalid
24.0,male,other,0.0428853741154679,36.68734374928012,1.5733504619906507,1 year,fiber optic,no,no,yes,credit card (automatic),yes,8.0,3.0,19.0,9.0,2023.0,1.0,38,0,invalid
47.0,female,pune,23.133350090910824,53.87062708448531,1246.2080759623013,monthly,no internet,no,no,no,electronic check,yes,6.0,2.0,,,,,,0,invalid
49.0,male,delhi,4.205221582069004,72.37010645022714,304.33233354112645,monthly,fiber optic,no,yes,no,mailed check,yes,8.0,2.0,29.0,4.0,2024.0,0.0,18,1,gmail.com
38.0,female,delhi,7.057847917709097,67.84882743492483,478.86670543058807,2 year,no internet,no,no,no internet service,electronic check,yes,4.0,7.0,17.0,1.0,2024.0,2.0,3,1,gmail.com
27.0,male,other,46.25066323485342,41.75183788610963,1931.0501935066507,2 year,dsl,yes,yes,no,electronic check,no,9.0,0.0,13.0,6.0,2023.0,1.0,24,1,outlook.com
32.0,unknown,bangalore,5.773414402582353,94.2783708162426,544.3081039224949,2 year,fiber optic,yes,no,no,electronic check,yes,2.0,6.0,2.0,7.0,2024.0,1.0,27,1,hotmail.com
54.0,female,other,17.300168934833238,75.95435500274982,1314.023172883868,1 year,fiber optic,no,no,no,bank transfer (automatic),yes,5.0,1.0,10.0,4.0,2023.0,0.0,15,1,gmail.com
35.0,male,other,28.391453629822102,40.51264812244693,1150.2129705897516,monthly,no internet,no,no,no internet service,mailed check,yes,6.0,1.0,28.0,6.0,2023.0,2.0,26,0,invalid
40.0,,other,59.057037011276826,25.715180042769525,1518.662339537487,monthly,no internet,no,no,no internet service,credit card (automatic),no,6.0,0.0,,,,,,1,yahoo.com
31.0,female,other,8.874020174614758,67.5059794175914,599.0494232588347,monthly,fiber optic,yes,no,no,electronic check,yes,8.0,1.0,20.0,4.0,2024.0,5.0,16,1,hotmail.com
49.0,male,delhi,13.694582174756311,90.34801988736866,1237.2783826740877,monthly,fiber optic,no,no,no internet service,mailed check,yes,7.0,4.0,,,,,,1,outlook.com
45.0,female,other,15.909588676627154,71.84378703567478,1143.005100708784,1 year,no internet,no,no,no,mailed check,yes,9.0,1.0,,,,,,1,hotmail.com
21.0,,pune,29.99397197825508,38.35016583142056,1150.2737993090636,monthly,no internet,no,no,,mailed check,yes,8.0,4.0,12.0,1.0,2023.0,3.0,2,1,company.in
45.0,female,,1.5354739897229266,19.863064893794537,30.499219500600095,monthly,dsl,no,no,no internet service,electronic check,no,5.0,2.0,30.0,8.0,2023.0,2.0,35,1,company.in
53.0,,other,13.714246203616325,31.97781342104936,438.5516063095773,monthly,,,no,no,credit card (automatic),yes,7.0,3.0,24.0,5.0,2023.0,2.0,21,0,invalid
45.0,other,other,13.568965690711288,81.85902966054321,1110.7423649388286,1 year,fiber optic,no,yes,no,credit card (automatic),yes,7.0,2.0,19.0,8.0,2023.0,5.0,33,0,invalid
41.0,female,chennai,35.13866286591171,59.75016748878178,2099.5409915700616,1 year,no internet,yes,no,no,credit card (automatic),yes,7.0,2.0,10.0,1.0,2023.0,1.0,2,0,invalid
38.0,male,other,20.187186063897204,80.18653690093471,1618.740540238728,1 year,fiber optic,,no,no,electronic check,no,6.0,1.0,19.0,8.0,2023.0,5.0,33,0,invalid
44.0,male,,23.77607324860114,83.55351166683329,1986.5744135684781,2 year,fiber optic,no,yes,no internet service,electronic check,no,6.0,1.0,18.0,5.0,2024.0,5.0,20,0,invalid
